shrinkage_p,lsh_acc,random_acc,lsh_time,random_time,lsh_std,random_std
0.0,99.47312500000001,99.47312500000001,86.58306165536244,86.83840386072795,0.001438094687615556,0.001438094687615556
10.0,99.47958333333334,99.35916666666667,130.7116639216741,79.12103275458018,0.0015726006857008168,0.001779883735279104
20.0,99.46333333333332,99.34833333333334,118.98787800470988,71.51684546470642,0.001431272743632925,0.0014936439409116771
30.0,99.45708333333333,99.29833333333333,108.41810111204784,63.90862580140432,0.001622118171130307,0.00192527054375918
40.0,99.45958333333333,99.28791666666666,98.37438023090363,56.42857094605764,0.0016524445275611218,0.002094341748882221
50.0,99.43541666666668,99.22458333333333,88.24452571074168,49.00225782394409,0.0015774286830154802,0.0019803242228932714
60.0,99.41375000000001,99.15666666666665,78.54514030615489,40.9256382783254,0.002097042394792153,0.0022650116506936404
70.0,99.36083333333333,99.07041666666667,68.54550536473592,33.347614328066506,0.0019687841707792635,0.0025243570413518023
80.0,99.27541666666667,98.84916666666668,58.84192577997843,25.70751456419627,0.0023697639650395535,0.003464893376586265
90.0,99.04208333333334,98.51458333333333,48.23535438378652,17.972111225128174,0.0037842165819213865,0.004812391773674858
